DriverNumber,TeamName,Position,ClassifiedPosition,GridPosition,Points,Season,EventName,EventDate,PitstopCount,TireStrategy0,TireStrategy,Overtakes,DriverFastestLap_s,AvgLapTime_s,AvgSpeedTrap_kmh,TrackTemp_Mean,AirTemp_Mean,Humidity_Mean,WindSpeed_Mean,Rainfall_Amount,WeatherConditions
10,Racing_Bulls,12,12,0,0,2022,Hungarian Grand Prix,7/31/22,2,SOFT > MEDIUM,SOFT_MEDIUM,16,83.199,87.06814493,282.5178571,26.72095808,18.55988024,69.31736527,4.034131737,46,Rainy
22,Racing_Bulls,19,19,16,0,2022,Hungarian Grand Prix,7/31/22,3,SOFT > MEDIUM,SOFT_MEDIUM,10,83.538,88.65795588,277.3636364,26.72095808,18.55988024,69.31736527,4.034131737,46,Rainy
10,Racing_Bulls,9,9,0,2,2022,Belgian Grand Prix,8/28/22,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,16,113.002,115.7297805,304.7428571,36.08397436,21.78717949,40.51923077,1.519230769,0,Clear
22,Racing_Bulls,13,13,0,0,2022,Belgian Grand Prix,8/28/22,2,HARD > MEDIUM > SOFT,HARD_SOFT,17,112.436,116.8534048,306.5789474,36.08397436,21.78717949,40.51923077,1.519230769,0,Clear
22,Racing_Bulls,20,,9,0,2022,Dutch Grand Prix,9/4/22,3,SOFT > MEDIUM > HARD,SOFT_HARD,4,77.138,78.55780952,291.375,33.44601227,22.73006135,75.3803681,1.06196319,0,Clear
22,Racing_Bulls,14,14,20,0,2022,Italian Grand Prix,9/11/22,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,11,86.857,92.86290385,305.3617021,43.13877551,27.73469388,33.14965986,1.36122449,0,Clear
22,Racing_Bulls,10,10,19,1,2022,United States Grand Prix,10/23/22,2,MEDIUM > HARD,MEDIUM_HARD,12,102.206,107.7028302,296.5535714,35.52352941,29.28529412,49.62352941,5.487058824,0,Windy
10,Racing_Bulls,14,14,11,0,2022,United States Grand Prix,10/23/22,2,MEDIUM > HARD,MEDIUM_HARD,12,101.674,106.0126667,290.0714286,35.52352941,29.28529412,49.62352941,5.487058824,0,Windy
22,Racing_Bulls,20,,13,0,2022,Mexico City Grand Prix,10/30/22,2,SOFT > MEDIUM,SOFT_MEDIUM,5,83.403,85.627,330.3783784,41.68909091,24.31272727,34.44242424,1.336969697,0,Clear
10,Racing_Bulls,14,14,10,0,2022,Sao Paulo Grand Prix,11/13/22,3,SOFT > MEDIUM,SOFT_MEDIUM,13,75.327,83.67480282,284.9677419,46.0491018,23.01077844,76.07784431,1.444311377,0,Clear
22,Racing_Bulls,17,17,0,0,2022,Sao Paulo Grand Prix,11/13/22,3,MEDIUM > SOFT,MEDIUM_SOFT,13,75.508,84.94778571,280.40625,46.0491018,23.01077844,76.07784431,1.444311377,0,Clear
22,Racing_Bulls,11,11,11,0,2022,Abu Dhabi Grand Prix,11/20/22,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,9,89.489,92.3325,305.5344828,34.31032258,28.57548387,61.68387097,2.608387097,0,Windy
6,Racing_Bulls,11,11,7,0,2025,Chinese Grand Prix,3/23/25,2,MEDIUM > HARD,MEDIUM_HARD,7,95.868,98.81966071,322.8035714,35.81688312,27.21558442,18.23376623,2.188311688,0,Clear
22,Racing_Bulls,16,16,9,0,2025,Chinese Grand Prix,3/23/25,3,MEDIUM > HARD,MEDIUM_HARD,7,95.871,99.60976364,318.9090909,35.81688312,27.21558442,18.23376623,2.188311688,0,Clear
6,Racing_Bulls,13,13,12,0,2025,Bahrain Grand Prix,4/13/25,2,SOFT > MEDIUM > HARD,SOFT_HARD,9,96.952,101.679807,297.9107143,31.87025316,27.05253165,45.32911392,2.105696203,0,Clear
30,Racing_Bulls,16,16,17,0,2025,Bahrain Grand Prix,4/13/25,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,14,97.38,100.6563571,302.8181818,31.87025316,27.05253165,45.32911392,2.105696203,0,Clear
30,Racing_Bulls,17,,15,0,2025,Miami Grand Prix,5/4/25,2,nan > HARD > MEDIUM,HARD_MEDIUM,2,91.77,98.51419444,296.0277778,38.69060403,26.57315436,63.02013423,1.046979866,5,Rainy
6,Racing_Bulls,9,9,9,2,2025,Emilia Romagna Grand Prix,5/18/25,2,MEDIUM > HARD,MEDIUM_HARD,5,79.473,87.56801587,274.8571429,42.664,23.96466667,38.30666667,3.248,0,Windy
30,Racing_Bulls,14,14,15,0,2025,Emilia Romagna Grand Prix,5/18/25,2,MEDIUM > HARD,MEDIUM_HARD,8,80.473,87.70968254,276.984127,42.664,23.96466667,38.30666667,3.248,0,Windy
6,Racing_Bulls,6,6,5,8,2025,Monaco Grand Prix,5/25/25,2,MEDIUM > SOFT > HARD,MEDIUM_HARD,4,75.981,79.20681818,275.7402597,43.3175,22.209375,52.51875,0.979375,0,Clear
30,Racing_Bulls,8,8,9,4,2025,Monaco Grand Prix,5/25/25,2,MEDIUM > SOFT > HARD,MEDIUM_HARD,3,75.321,79.22842857,276.0649351,43.3175,22.209375,52.51875,0.979375,0,Clear
6,Racing_Bulls,7,7,9,6,2025,Spanish Grand Prix,6/1/25,3,SOFT > MEDIUM,SOFT_MEDIUM,7,77.77,84.74843939,303.5306122,48.54322581,29.12,54.62580645,1.632903226,0,Clear
30,Racing_Bulls,11,11,13,0,2025,Spanish Grand Prix,6/1/25,2,SOFT > MEDIUM,SOFT_MEDIUM,13,79.424,84.8925303,309.3636364,48.54322581,29.12,54.62580645,1.632903226,0,Clear
30,Racing_Bulls,19,,19,0,2025,Canadian Grand Prix,6/15/25,2,HARD > MEDIUM,HARD_MEDIUM,9,76.32,78.42022642,313.2407407,49.25329341,24.03652695,27.9760479,1.037724551,1,Clear
6,Racing_Bulls,12,12,13,0,2025,Austrian Grand Prix,6/29/25,2,SOFT > MEDIUM > HARD,SOFT_HARD,16,70.204,73.27028986,293.7246377,49.16645963,30.34782609,31.98136646,1.618012422,0,Clear
6,Racing_Bulls,3,3,4,15,2025,Dutch Grand Prix,8/31/25,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,1,73.327,82.12613889,282.03125,27.96352201,20.07735849,71.17610063,2.170440252,0,Clear
30,Racing_Bulls,12,12,8,0,2025,Dutch Grand Prix,8/31/25,3,MEDIUM > HARD > SOFT,MEDIUM_SOFT,8,73.879,82.31822222,285.2063492,27.96352201,20.07735849,71.17610063,2.170440252,0,Clear
30,Racing_Bulls,20,,15,0,2025,Mexico City Grand Prix,10/26/25,2,SOFT > HARD,SOFT_HARD,0,85.124,96.3844,311.8,50.5882716,26.40555556,23.2345679,1.847530864,0,Clear
6,Racing_Bulls,8,8,5,4,2025,Sao Paulo Grand Prix,11/9/25,2,SOFT > MEDIUM,SOFT_MEDIUM,14,73.694,78.51364789,303.234375,30.69276316,17.34802632,70.57236842,1.509868421,0,Clear
30,Racing_Bulls,14,14,6,0,2025,Las Vegas Grand Prix,11/23/25,2,MEDIUM > HARD,MEDIUM_HARD,5,94.837,99.42285714,299.5306122,19.52978723,16.73404255,37.76595745,1.436879433,0,Clear
3,Racing_Bulls,13,13,14,0,2024,Bahrain Grand Prix,3/2/24,2,SOFT > HARD,SOFT_HARD,11,95.163,98.45892857,300.66,23.65286624,18.22738854,48.82165605,0.785987261,0,Clear
22,Racing_Bulls,14,14,11,0,2024,Bahrain Grand Prix,3/2/24,2,SOFT > HARD,SOFT_HARD,8,95.833,98.46828571,302.1153846,23.65286624,18.22738854,48.82165605,0.785987261,0,Clear
22,Racing_Bulls,7,7,8,6,2024,Australian Grand Prix,3/24/24,2,MEDIUM > HARD,MEDIUM_HARD,6,81.134,84.86972414,290.1818182,38.40208333,20.62222222,44.45138889,0.953472222,0,Clear
3,Racing_Bulls,12,12,18,0,2024,Australian Grand Prix,3/24/24,2,SOFT > HARD,SOFT_HARD,11,81.239,84.88335088,289.8979592,38.40208333,20.62222222,44.45138889,0.953472222,0,Clear
22,Racing_Bulls,10,10,10,1,2024,Japanese Grand Prix,4/7/24,3,MEDIUM > SOFT > HARD,MEDIUM_HARD,5,96.342,100.2397,295.1372549,37.50110497,21.69116022,43.43093923,2.240883978,0,Windy
22,Racing_Bulls,19,,19,0,2024,Chinese Grand Prix,4/21/24,2,SOFT > MEDIUM > HARD,SOFT_HARD,9,101.593,111.0467308,295.3076923,29.79272727,18.63939394,66.06060606,1.68,0,Clear
3,Racing_Bulls,15,15,18,0,2024,Spanish Grand Prix,6/23/24,2,SOFT > MEDIUM > HARD,SOFT_HARD,15,79.45,82.21964615,308.8571429,41.0961039,24.13246753,63.44155844,2.123376623,1,Clear
22,Racing_Bulls,19,19,17,0,2024,Spanish Grand Prix,6/23/24,3,SOFT > MEDIUM > HARD,SOFT_HARD,7,79.447,82.52509231,307.3214286,41.0961039,24.13246753,63.44155844,2.123376623,1,Clear
3,Racing_Bulls,9,9,11,2,2024,Austrian Grand Prix,6/30/24,2,MEDIUM > HARD,MEDIUM_HARD,11,70.426,72.1685493,303.5774648,46.42097902,29.42587413,35.00699301,1.667832168,1,Clear
22,Racing_Bulls,14,14,14,0,2024,Austrian Grand Prix,6/30/24,2,MEDIUM > HARD,MEDIUM_HARD,15,70.318,72.51347143,293.4,46.42097902,29.42587413,35.00699301,1.667832168,1,Clear
22,Racing_Bulls,10,10,13,1,2024,British Grand Prix,7/7/24,2,MEDIUM > INTERMEDIATE > SOFT,MEDIUM_SOFT,3,90.229,96.66080769,306.2307692,27.67006803,15.7707483,67.33333333,1.34829932,51,Rainy
3,Racing_Bulls,13,13,15,0,2024,British Grand Prix,7/7/24,2,MEDIUM > INTERMEDIATE > SOFT,MEDIUM_SOFT,4,90.735,97.196,303.4313725,27.67006803,15.7707483,67.33333333,1.34829932,51,Rainy
3,Racing_Bulls,12,12,9,0,2024,Hungarian Grand Prix,7/21/24,2,MEDIUM > HARD,MEDIUM_HARD,10,82.64,85.50598551,293.4423077,44.91612903,28.82387097,46.92258065,1.249677419,0,Clear
3,Racing_Bulls,10,10,13,1,2024,Belgian Grand Prix,7/28/24,2,SOFT > MEDIUM,SOFT_MEDIUM,13,107.435,110.2719545,311.030303,42.26715328,21.32846715,49.58394161,1.683211679,0,Clear
22,Racing_Bulls,17,17,11,0,2024,Dutch Grand Prix,8/25/24,2,SOFT > MEDIUM > HARD,SOFT_HARD,9,75.552,77.615,298.6769231,30.80588235,19.00588235,60.96078431,4.568627451,0,Windy
22,Racing_Bulls,20,,11,0,2024,Azerbaijan Grand Prix,9/15/24,2,MEDIUM > HARD,MEDIUM_HARD,0,110.887,115.9036429,310.2857143,44.34934211,26.70592105,38.01973684,1.551315789,0,Clear
3,Racing_Bulls,18,18,16,0,2024,Singapore Grand Prix,9/22/24,3,SOFT > MEDIUM,SOFT_MEDIUM,8,94.486,100.694541,281.2765957,36.445625,30.78625,74.65,0.955,0,Clear
30,Racing_Bulls,16,16,12,0,2024,Mexico City Grand Prix,10/27/24,2,HARD > MEDIUM > SOFT,HARD_SOFT,11,79.502,87.43237143,318.5166667,35.60251572,19.88867925,51.05031447,2.150943396,0,Clear
22,Racing_Bulls,9,9,7,2,2024,Las Vegas Grand Prix,11/23/24,2,MEDIUM > HARD,MEDIUM_HARD,8,96.957,99.77554,307.96,17.72377622,17.82517483,47.86013986,2.898601399,0,Windy
30,Racing_Bulls,16,16,14,0,2024,Las Vegas Grand Prix,11/23/24,2,MEDIUM > HARD,MEDIUM_HARD,10,96.98,100.33948,298.54,17.72377622,17.82517483,47.86013986,2.898601399,0,Windy
30,Racing_Bulls,17,17,12,0,2024,Abu Dhabi Grand Prix,12/8/24,3,MEDIUM > HARD,MEDIUM_HARD,6,88.751,92.30816364,299.1636364,31.80540541,26.76824324,51.44594595,1.900675676,0,Clear
30,Red_Bull_Racing,12,12,20,0,2025,Chinese Grand Prix,3/23/25,2,HARD > MEDIUM,HARD_MEDIUM,10,95.985,98.86023214,317.9642857,35.81688312,27.21558442,18.23376623,2.188311688,0,Clear
1,Red_Bull_Racing,6,6,7,8,2025,Bahrain Grand Prix,4/13/25,2,SOFT > HARD > MEDIUM,SOFT_MEDIUM,14,96.167,101.2952632,302.1132075,31.87025316,27.05253165,45.32911392,2.105696203,0,Clear
22,Red_Bull_Racing,9,9,10,2,2025,Bahrain Grand Prix,4/13/25,2,SOFT > MEDIUM,SOFT_MEDIUM,12,97.225,100.5890357,301.8113208,31.87025316,27.05253165,45.32911392,2.105696203,0,Clear
1,Red_Bull_Racing,1,1,2,25,2025,Emilia Romagna Grand Prix,5/18/25,2,MEDIUM > HARD,MEDIUM_HARD,0,77.988,87.19363492,271.8253968,42.664,23.96466667,38.30666667,3.248,0,Windy
1,Red_Bull_Racing,4,4,4,12,2025,Monaco Grand Prix,5/25/25,2,HARD > MEDIUM > SOFT,HARD_SOFT,6,74.23,77.62070513,275.3205128,43.3175,22.209375,52.51875,0.979375,0,Clear
22,Red_Bull_Racing,17,17,12,0,2025,Monaco Grand Prix,5/25/25,2,SOFT > HARD > MEDIUM,SOFT_MEDIUM,5,74.913,80.33805263,274.9342105,43.3175,22.209375,52.51875,0.979375,0,Clear
22,Red_Bull_Racing,16,16,18,0,2025,Austrian Grand Prix,6/29/25,3,MEDIUM > HARD > SOFT,MEDIUM_SOFT,8,69.802,73.98047059,298.3088235,49.16645963,30.34782609,31.98136646,1.618012422,0,Clear
1,Red_Bull_Racing,9,9,8,2,2025,Hungarian Grand Prix,8/3/25,2,MEDIUM > HARD,MEDIUM_HARD,10,79.576,82.76965714,294,32.72993631,22.08216561,57.24203822,2.150955414,0,Clear
22,Red_Bull_Racing,17,17,20,0,2025,Hungarian Grand Prix,8/3/25,2,MEDIUM > SOFT > HARD,MEDIUM_HARD,12,81.18,83.59672464,293.4680851,32.72993631,22.08216561,57.24203822,2.150955414,0,Clear
1,Red_Bull_Racing,2,2,3,18,2025,Dutch Grand Prix,8/31/25,2,SOFT > MEDIUM,SOFT_MEDIUM,1,72.921,82.09888889,280.9848485,27.96352201,20.07735849,71.17610063,2.170440252,0,Clear
22,Red_Bull_Racing,9,9,12,2,2025,Dutch Grand Prix,8/31/25,2,SOFT > HARD,SOFT_HARD,8,74.354,82.27008333,288.4090909,27.96352201,20.07735849,71.17610063,2.170440252,0,Clear
1,Red_Bull_Racing,3,3,19,15,2025,Sao Paulo Grand Prix,11/9/25,3,HARD > MEDIUM > SOFT,HARD_SOFT,19,72.447,77.9203662,308.6875,30.69276316,17.34802632,70.57236842,1.509868421,0,Clear
22,Red_Bull_Racing,17,17,17,0,2025,Sao Paulo Grand Prix,11/9/25,3,HARD > MEDIUM,HARD_MEDIUM,14,72.774,78.74326761,296.3275862,30.69276316,17.34802632,70.57236842,1.509868421,0,Clear
22,Red_Bull_Racing,12,12,20,0,2025,Las Vegas Grand Prix,11/23/25,2,MEDIUM > HARD,MEDIUM_HARD,7,94.967,99.10806,315.2,19.52978723,16.73404255,37.76595745,1.436879433,0,Clear
1,Red_Bull_Racing,1,1,1,26,2024,Bahrain Grand Prix,3/2/24,2,SOFT > HARD,SOFT_HARD,0,92.608,96.57442105,289.9565217,23.65286624,18.22738854,48.82165605,0.785987261,0,Clear
11,Red_Bull_Racing,2,2,5,18,2024,Bahrain Grand Prix,3/2/24,2,SOFT > HARD,SOFT_HARD,5,94.364,96.96840351,297.3636364,23.65286624,18.22738854,48.82165605,0.785987261,0,Clear
11,Red_Bull_Racing,5,5,6,10,2024,Australian Grand Prix,3/24/24,2,MEDIUM > HARD,MEDIUM_HARD,10,80.388,84.19227586,292.9245283,38.40208333,20.62222222,44.45138889,0.953472222,0,Clear
1,Red_Bull_Racing,1,1,1,26,2024,Japanese Grand Prix,4/7/24,3,MEDIUM > HARD,MEDIUM_HARD,2,93.706,97.6375098,285.754717,37.50110497,21.69116022,43.43093923,2.240883978,0,Windy
11,Red_Bull_Racing,2,2,2,18,2024,Japanese Grand Prix,4/7/24,3,MEDIUM > HARD,MEDIUM_HARD,7,93.945,97.90370588,290.7358491,37.50110497,21.69116022,43.43093923,2.240883978,0,Windy
1,Red_Bull_Racing,1,1,1,25,2024,Chinese Grand Prix,4/21/24,2,MEDIUM > HARD,MEDIUM_HARD,2,98.406,105.2354528,291.2857143,29.79272727,18.63939394,66.06060606,1.68,0,Clear
11,Red_Bull_Racing,3,3,2,15,2024,Chinese Grand Prix,4/21/24,2,MEDIUM > HARD,MEDIUM_HARD,6,99.388,105.8995094,299.0178571,29.79272727,18.63939394,66.06060606,1.68,0,Clear
11,Red_Bull_Racing,4,4,4,12,2024,Miami Grand Prix,5/5/24,2,MEDIUM > HARD,MEDIUM_HARD,4,90.855,95.86887719,307.5438596,44.664,28.522,59.00666667,3.080666667,0,Windy
1,Red_Bull_Racing,6,6,6,8,2024,Monaco Grand Prix,5/26/24,2,HARD > MEDIUM,HARD_MEDIUM,0,74.569,109.7657662,268.6025641,46.318,21.5965,63.99,0.9795,0,Clear
1,Red_Bull_Racing,1,1,2,25,2024,Spanish Grand Prix,6/23/24,2,SOFT > MEDIUM,SOFT_MEDIUM,5,77.776,80.3064697,300.8421053,41.0961039,24.13246753,63.44155844,2.123376623,1,Clear
11,Red_Bull_Racing,8,8,11,4,2024,Spanish Grand Prix,6/23/24,3,SOFT > MEDIUM,SOFT_MEDIUM,14,77.785,81.20834848,305.2545455,41.0961039,24.13246753,63.44155844,2.123376623,1,Clear
1,Red_Bull_Racing,5,5,1,10,2024,Austrian Grand Prix,6/30/24,3,MEDIUM > HARD > SOFT,MEDIUM_SOFT,1,67.719,71.69085915,295.4366197,46.42097902,29.42587413,35.00699301,1.667832168,1,Clear
11,Red_Bull_Racing,7,7,8,6,2024,Austrian Grand Prix,6/30/24,2,MEDIUM > HARD,MEDIUM_HARD,5,69.694,72.07704225,297.5352113,46.42097902,29.42587413,35.00699301,1.667832168,1,Clear
1,Red_Bull_Racing,2,2,4,18,2024,British Grand Prix,7/7/24,2,MEDIUM > INTERMEDIATE > HARD,MEDIUM_HARD,4,88.952,95.16392308,295.9230769,27.67006803,15.7707483,67.33333333,1.34829932,51,Rainy
1,Red_Bull_Racing,5,5,3,10,2024,Hungarian Grand Prix,7/21/24,2,MEDIUM > HARD,MEDIUM_HARD,7,80.908,84.3334,293.66,44.91612903,28.82387097,46.92258065,1.249677419,0,Clear
11,Red_Bull_Racing,7,7,16,6,2024,Hungarian Grand Prix,7/21/24,2,HARD > MEDIUM,HARD_MEDIUM,14,81.096,84.59687143,296.5576923,44.91612903,28.82387097,46.92258065,1.249677419,0,Clear
1,Red_Bull_Racing,4,4,11,12,2024,Belgian Grand Prix,7/28/24,2,MEDIUM > HARD,MEDIUM_HARD,9,106.128,109.2333182,312.1944444,42.26715328,21.32846715,49.58394161,1.683211679,0,Clear
11,Red_Bull_Racing,7,7,2,7,2024,Belgian Grand Prix,7/28/24,3,MEDIUM > HARD > SOFT,MEDIUM_SOFT,3,104.701,110.0053409,310.3939394,42.26715328,21.32846715,49.58394161,1.683211679,0,Clear
1,Red_Bull_Racing,6,6,7,8,2024,Italian Grand Prix,9/1/24,2,HARD > MEDIUM,HARD_MEDIUM,7,81.745,85.25771698,317.2820513,49.3112782,33.10150376,32.28571429,1.518796992,0,Clear
11,Red_Bull_Racing,8,8,8,4,2024,Italian Grand Prix,9/1/24,2,HARD > MEDIUM,HARD_MEDIUM,9,82.971,85.56367925,319.4666667,49.3112782,33.10150376,32.28571429,1.518796992,0,Clear
1,Red_Bull_Racing,5,5,6,10,2024,Azerbaijan Grand Prix,9/15/24,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,5,106.798,109.063102,315.6862745,44.34934211,26.70592105,38.01973684,1.551315789,0,Clear
11,Red_Bull_Racing,17,17,18,0,2024,Mexico City Grand Prix,10/27/24,3,HARD > MEDIUM > SOFT,HARD_SOFT,5,79.209,87.55834286,312.0188679,35.60251572,19.88867925,51.05031447,2.150943396,0,Clear
1,Red_Bull_Racing,5,5,5,10,2024,Las Vegas Grand Prix,11/23/24,2,MEDIUM > HARD,MEDIUM_HARD,8,96.248,98.85102,304.04,17.72377622,17.82517483,47.86013986,2.898601399,0,Windy
11,Red_Bull_Racing,10,10,15,1,2024,Las Vegas Grand Prix,11/23/24,2,HARD > MEDIUM,HARD_MEDIUM,17,96.326,99.78166,303.22,17.72377622,17.82517483,47.86013986,2.898601399,0,Windy
1,Red_Bull_Racing,1,1,2,25,2024,Qatar Grand Prix,12/1/24,3,MEDIUM > HARD,MEDIUM_HARD,0,82.905,91.00656604,263.90625,22.77350993,18.92649007,57.25165563,1.657615894,0,Clear
11,Red_Bull_Racing,17,,9,0,2024,Qatar Grand Prix,12/1/24,3,MEDIUM > HARD,MEDIUM_HARD,3,85.288,95.45640541,282.4242424,22.77350993,18.92649007,57.25165563,1.657615894,0,Clear
1,Red_Bull_Racing,1,1,1,25,2023,Bahrain Grand Prix,3/5/23,2,SOFT > HARD,SOFT_HARD,1,96.236,98.89010526,288.16,31.01180124,27.43167702,21.49689441,0.683229814,0,Clear
11,Red_Bull_Racing,2,2,2,18,2023,Bahrain Grand Prix,3/5/23,2,SOFT > HARD,SOFT_HARD,3,96.344,99.10040351,292.2745098,31.01180124,27.43167702,21.49689441,0.683229814,0,Clear
1,Red_Bull_Racing,1,1,1,25,2023,Australian Grand Prix,4/2/23,3,MEDIUM > HARD > SOFT,MEDIUM_SOFT,2,80.342,85.46938462,267.372549,30.13963964,17.44954955,54.15765766,1.127027027,0,Clear
1,Red_Bull_Racing,1,1,1,26,2023,Spanish Grand Prix,6/4/23,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,0,76.33,79.96878788,302.1395349,33.83896104,22.67402597,63.07792208,1.869480519,0,Clear
11,Red_Bull_Racing,4,4,11,12,2023,Spanish Grand Prix,6/4/23,2,MEDIUM > HARD > SOFT,MEDIUM_SOFT,15,76.666,80.51139394,312.1730769,33.83896104,22.67402597,63.07792208,1.869480519,0,Clear
1,Red_Bull_Racing,1,1,1,25,2023,Canadian Grand Prix,6/18/23,2,MEDIUM > HARD,MEDIUM_HARD,0,75.594,80.54782857,295.5142857,30.59320988,18.53024691,63.90123457,1.941975309,0,Clear
11,Red_Bull_Racing,6,6,12,9,2023,Canadian Grand Prix,6/18/23,2,HARD > MEDIUM > SOFT,HARD_SOFT,3,74.481,81.2768,302.6,30.59320988,18.53024691,63.90123457,1.941975309,0,Clear
11,Red_Bull_Racing,3,3,15,15,2023,Austrian Grand Prix,7/2/23,3,MEDIUM > HARD,MEDIUM_HARD,16,68.111,72.54640845,299.2676056,32.05424837,22.39803922,52.04575163,1.097385621,3,Clear
1,Red_Bull_Racing,1,1,2,26,2023,Hungarian Grand Prix,7/23/23,2,MEDIUM > HARD,MEDIUM_HARD,0,80.504,84.12334286,288.3207547,48.57926829,28.80853659,32.80487805,1.440853659,0,Clear
11,Red_Bull_Racing,3,3,9,15,2023,Hungarian Grand Prix,7/23/23,2,HARD > MEDIUM,HARD_MEDIUM,10,82.295,84.66052857,295.6041667,48.57926829,28.80853659,32.80487805,1.440853659,0,Clear
1,Red_Bull_Racing,1,1,6,25,2023,Belgian Grand Prix,7/30/23,2,SOFT > MEDIUM,SOFT_MEDIUM,4,108.922,112.5102273,293.2682927,28.24066667,17.87333333,61.92666667,1.594666667,11,Rainy
11,Red_Bull_Racing,2,2,2,18,2023,Belgian Grand Prix,7/30/23,2,SOFT > MEDIUM,SOFT_MEDIUM,1,110.308,113.0171591,296.2926829,28.24066667,17.87333333,61.92666667,1.594666667,11,Rainy
1,Red_Bull_Racing,1,1,1,26,2023,Japanese Grand Prix,9/24/23,2,MEDIUM > HARD,MEDIUM_HARD,2,94.183,99.06016,279.3018868,42.07025316,27.28860759,42.3164557,1.829746835,0,Clear
1,Red_Bull_Racing,1,1,1,26,2023,Qatar Grand Prix,10/8/23,3,MEDIUM > HARD,MEDIUM_HARD,0,84.319,91.17873214,285.4081633,36.93207547,31.46289308,73.1572327,0.889937107,0,Clear
11,Red_Bull_Racing,10,10,20,1,2023,Qatar Grand Prix,10/8/23,3,HARD > MEDIUM,HARD_MEDIUM,21,86.22,93.58507018,293.5,36.93207547,31.46289308,73.1572327,0.889937107,0,Clear
1,Red_Bull_Racing,1,1,6,25,2023,United States Grand Prix,10/22/23,2,MEDIUM > HARD,MEDIUM_HARD,10,100.028,102.1671786,294.8392857,40.62857143,29.96011905,41.91071429,3.314285714,0,Windy
11,Red_Bull_Racing,4,4,9,12,2023,United States Grand Prix,10/22/23,2,MEDIUM > HARD,MEDIUM_HARD,11,99.737,102.4968214,296.0535714,40.62857143,29.96011905,41.91071429,3.314285714,0,Windy
1,Red_Bull_Racing,1,1,3,25,2023,Mexico City Grand Prix,10/29/23,3,MEDIUM > HARD,MEDIUM_HARD,5,81.644,83.60258824,319.9019608,45.63947368,25.54736842,23.55263158,1.49,0,Clear
1,Red_Bull_Racing,1,1,2,25,2023,Las Vegas Grand Prix,11/19/23,2,MEDIUM > HARD,MEDIUM_HARD,10,95.614,99.95786667,274.74,17.99444444,18.05,47.36111111,2.300925926,0,Windy
11,Red_Bull_Racing,3,3,11,15,2023,Las Vegas Grand Prix,11/19/23,2,MEDIUM > HARD,MEDIUM_HARD,13,95.939,101.3956304,288.46,17.99444444,18.05,47.36111111,2.300925926,0,Windy
1,Red_Bull_Racing,1,1,1,26,2023,Abu Dhabi Grand Prix,11/26/23,2,MEDIUM > HARD,MEDIUM_HARD,4,86.993,90.04524138,299.7931034,33.46089744,26.96282051,51,1.794871795,0,Clear
11,Red_Bull_Racing,4,4,9,12,2023,Abu Dhabi Grand Prix,11/26/23,2,MEDIUM > HARD,MEDIUM_HARD,18,87.493,90.32891379,309.7586207,33.46089744,26.96282051,51,1.794871795,0,Clear
11,Red_Bull_Racing,18,18,4,0,2022,Bahrain Grand Prix,3/20/22,3,SOFT > MEDIUM,SOFT_MEDIUM,8,96.089,102.9558036,282.7169811,28.61042945,23.61779141,29.49079755,0.304907975,0,Clear
11,Red_Bull_Racing,4,4,4,12,2022,Miami Grand Prix,5/8/22,2,MEDIUM > HARD,MEDIUM_HARD,1,91.819,97.51929091,297.7192982,42.81975309,30.61728395,58.85802469,2.267283951,9,Rainy
1,Red_Bull_Racing,1,1,2,25,2022,Spanish Grand Prix,5/22/22,3,SOFT > MEDIUM,SOFT_MEDIUM,8,85.456,88.49204545,300.8360656,48.95731707,36.56585366,7.109756098,3.488414634,0,Windy
11,Red_Bull_Racing,2,2,5,19,2022,Spanish Grand Prix,5/22/22,3,SOFT > MEDIUM,SOFT_MEDIUM,6,84.108,88.69010606,300.5,48.95731707,36.56585366,7.109756098,3.488414634,0,Windy
1,Red_Bull_Racing,1,1,3,25,2022,Azerbaijan Grand Prix,6/12/22,2,MEDIUM > HARD,MEDIUM_HARD,3,106.05,109.64182,317.4313725,47.14968944,25.43540373,59.49068323,1.529192547,0,Clear
11,Red_Bull_Racing,2,2,2,19,2022,Azerbaijan Grand Prix,6/12/22,2,MEDIUM > HARD,MEDIUM_HARD,1,106.046,110.04222,311.8823529,47.14968944,25.43540373,59.49068323,1.529192547,0,Clear
1,Red_Bull_Racing,1,1,1,25,2022,Canadian Grand Prix,6/19/22,2,MEDIUM > HARD,MEDIUM_HARD,3,75.839,82.59652857,290.3857143,41.26111111,20.76296296,28.92592593,3.552469136,0,Windy
11,Red_Bull_Racing,2,2,4,18,2022,British Grand Prix,7/3/22,3,MEDIUM > SOFT,MEDIUM_SOFT,13,90.937,97.30953061,297.9807692,30.02610837,18.25320197,59.74876847,1.456157635,9,Rainy
1,Red_Bull_Racing,2,2,1,19,2022,Austrian Grand Prix,7/10/22,3,MEDIUM > HARD,MEDIUM_HARD,7,67.275,71.34991549,294.2816901,30.74671053,20.25592105,35.13815789,1.255263158,0,Clear
